Github Ranking,Total Ranking,login,noncode%,code%,total%
1,2,vhf,15.955,34.896,50.851
2,3,MHM5000,0.025,6.816,6.841
3,7,alexanderfefelov,0.0,3.034,3.034
4,5,MrS4w,0.225,2.944,3.169
5,9,esparta,0.0,2.4,2.4
6,8,kadhirash,0.937,1.947,2.8840000000000003
7,6,borgified,1.449,1.608,3.0570000000000004
8,10,ericguirbal,0.012,1.562,1.574
9,1,eshellman,51.049,1.427,52.476
10,11,HankiDesign,0.162,1.178,1.3399999999999999
11,14,maieul,0.087,1.11,1.197
12,15,mcicolella,0.062,0.996,1.058
13,17,JIghtuse,0.0,0.77,0.77
14,20,luminousspice,0.0,0.679,0.679
15,21,danielkrupinski,0.087,0.589,0.6759999999999999
16,4,SethiPandi,3.148,0.566,3.714
17,24,Mouseion,0.0,0.498,0.498
18,19,quobit,0.225,0.476,0.701
19,26,sunxb10,0.0,0.453,0.453
20,28,saritip,0.012,0.43,0.442
21,27,davisonio,0.037,0.408,0.44499999999999995
22,31,hoganlong,0.0,0.408,0.408
23,30,grogy,0.025,0.408,0.433
24,33,corragon,0.0,0.362,0.362
25,36,BlueKore,0.0,0.34,0.34
26,35,tml,0.0,0.34,0.34
27,34,jgpacker,0.012,0.34,0.35200000000000004
28,16,bluetata,0.5,0.317,0.817
29,39,rodrigo-medeiros,0.012,0.294,0.306
30,23,GintasS,0.375,0.294,0.669
31,22,charlottetan,0.4,0.272,0.672
32,46,avinoth,0.0,0.272,0.272
33,45,ktkaushik,0.0,0.272,0.272
34,44,ictxiangxin,0.0,0.272,0.272
35,43,avelytchko,0.0,0.272,0.272
36,37,oltolm,0.062,0.272,0.334
37,41,jbranchaud,0.025,0.272,0.29700000000000004
38,51,levibostian,0.0,0.249,0.249
39,50,dhamaniasad,0.0,0.249,0.249
40,52,minsOne,0.0,0.249,0.249
41,32,DavidMetcalfe,0.137,0.249,0.386
42,38,gabrielgomesferraz,0.075,0.249,0.324
43,49,robalni,0.0,0.249,0.249
44,48,jwigert,0.025,0.226,0.251
45,55,ligurio,0.012,0.226,0.23800000000000002
46,67,gabriellim,0.0,0.204,0.204
47,54,cirosantilli,0.037,0.204,0.241
48,62,rastalamm,0.012,0.204,0.216
49,40,AnshumanPati,0.1,0.204,0.304
50,12,onebree,1.112,0.204,1.316
51,78,IgorLutiy,0.0,0.181,0.181
52,82,kathgironpe,0.0,0.181,0.181
53,73,paulofreitas,0.012,0.181,0.193
