Github Ranking,Total Ranking,login,noncode%,code%,total%
1,1,ljharb,38.872,35.423,74.295
2,2,hshoff,2.212,17.504,19.716
3,4,lencioni,1.062,3.489,4.551
4,3,goatslacker,2.267,3.193,5.46
5,5,justjake,1.742,2.188,3.93
6,6,sharmilajesupaul,0.131,1.005,1.136
7,7,1pete,0.088,0.946,1.034
8,8,vsemozhetbyt,0.142,0.887,1.029
9,12,ssorallen,0.033,0.769,0.802
10,11,chrisngobanh,0.219,0.591,0.8099999999999999
11,17,thisconnect,0.0,0.532,0.532
12,9,SimenB,0.46,0.473,0.933
13,10,taion,0.515,0.414,0.929
14,19,Ryan-McBride,0.022,0.414,0.436
15,31,kevinweber,0.0,0.296,0.296
16,30,bl00mber,0.022,0.296,0.318
17,29,joaomilho,0.022,0.296,0.318
18,21,felipethome,0.12,0.296,0.416
19,26,edmorley,0.066,0.296,0.362
20,32,mitsuruog,0.0,0.296,0.296
21,16,graingert,0.241,0.296,0.5369999999999999
22,40,vladshcherbin,0.022,0.237,0.259
23,35,simono,0.044,0.237,0.28099999999999997
24,28,spikebrehm,0.088,0.237,0.32499999999999996
25,41,ajacksified,0.011,0.237,0.248
26,49,pigoz,0.044,0.177,0.22099999999999997
27,72,chentsulin,0.011,0.177,0.188
28,71,unkillbob,0.011,0.177,0.188
29,46,adrienverge,0.055,0.177,0.23199999999999998
30,47,trshafer,0.055,0.177,0.23199999999999998
31,48,lvarayut,0.055,0.177,0.23199999999999998
32,42,jabacchetta,0.066,0.177,0.243
33,52,remcohaszing,0.033,0.177,0.21
34,54,raunofreiberg,0.033,0.177,0.21
35,58,asherdale,0.022,0.177,0.19899999999999998
36,59,wyattdanger,0.022,0.177,0.19899999999999998
37,60,camazorro,0.022,0.177,0.19899999999999998
38,61,karanjthakkar,0.022,0.177,0.19899999999999998
39,62,leonidlebedev,0.022,0.177,0.19899999999999998
40,53,RobLoach,0.033,0.177,0.21
41,63,amsardesai,0.022,0.177,0.19899999999999998
42,24,kripod,0.208,0.177,0.385
43,25,AlicanC,0.197,0.177,0.374
44,33,nkt,0.11,0.177,0.287
45,102,JBallin,0.022,0.118,0.13999999999999999
46,94,ronal2do,0.033,0.118,0.151
47,103,ClimbsRocks,0.022,0.118,0.13999999999999999
48,95,daxelrod,0.033,0.118,0.151
49,104,sidoshi,0.022,0.118,0.13999999999999999
50,125,A-Tokyo,0.011,0.118,0.129
51,124,akai,0.011,0.118,0.129
52,123,HerringtonDarkholme,0.011,0.118,0.129
53,93,kamronbatman,0.033,0.118,0.151
54,119,gmccue,0.011,0.118,0.129
55,126,johnmanong,0.011,0.118,0.129
56,122,NLDev,0.011,0.118,0.129
57,121,olistic,0.011,0.118,0.129
58,105,sindrenm,0.022,0.118,0.13999999999999999
59,106,atkinchris,0.022,0.118,0.13999999999999999
60,107,parksb,0.022,0.118,0.13999999999999999
61,120,jondubin,0.011,0.118,0.129
62,118,cooperka,0.011,0.118,0.129
63,101,cmalard,0.022,0.118,0.13999999999999999
64,144,mifi,0.0,0.118,0.118
65,127,nicoder,0.011,0.118,0.129
66,148,evenfrost,0.0,0.118,0.118
67,157,kaplanmaxe,0.0,0.118,0.118
68,156,lasota-piotr,0.0,0.118,0.118
69,155,prayagverma,0.0,0.118,0.118
70,154,reissbaker,0.0,0.118,0.118
71,153,rodocite,0.0,0.118,0.118
72,152,bertho-zero,0.0,0.118,0.118
73,151,koenpunt,0.0,0.118,0.118
74,149,vahan-hartooni,0.0,0.118,0.118
75,147,floftar,0.0,0.118,0.118
76,138,chrisportela,0.0,0.118,0.118
77,146,TheSavior,0.0,0.118,0.118
78,145,honzi,0.0,0.118,0.118
79,87,KevinGrandon,0.044,0.118,0.16199999999999998
80,143,uzumaxy,0.0,0.118,0.118
81,142,nmussy,0.0,0.118,0.118
82,141,danielpaz6,0.0,0.118,0.118
83,140,carterchung,0.0,0.118,0.118
84,139,coliff,0.0,0.118,0.118
85,92,frenzzy,0.033,0.118,0.151
86,150,timofurrer,0.0,0.118,0.118
87,86,Doweig,0.044,0.118,0.16199999999999998
88,80,spen,0.055,0.118,0.173
89,14,felixsanz,0.482,0.118,0.6
90,34,hzoo,0.164,0.118,0.28200000000000003
91,45,fvgs,0.12,0.118,0.238
92,50,thepeoplesbourgeois,0.099,0.118,0.217
93,51,billyjanitsch,0.099,0.118,0.217
94,56,sangaman,0.088,0.118,0.206
95,67,aladdin-add,0.077,0.118,0.195
96,68,Ensive,0.077,0.118,0.195
97,69,honzajavorek,0.077,0.118,0.195
98,75,tikotzky,0.066,0.118,0.184
99,77,iamnirav,0.055,0.118,0.173
100,78,silvenon,0.055,0.118,0.173
101,79,ndresx,0.055,0.118,0.173
102,44,dandv,0.12,0.118,0.238
103,347,telmen,0.0,0.059,0.059
104,384,jdhartley,0.0,0.059,0.059
105,405,fpmweb,0.0,0.059,0.059
106,404,flurin,0.0,0.059,0.059
107,403,Hypnosphi,0.0,0.059,0.059
108,402,gjvis,0.0,0.059,0.059
109,401,HollowMan6,0.0,0.059,0.059
110,400,IrvingAxelB,0.0,0.059,0.059
111,399,yuyokk,0.0,0.059,0.059
112,398,JonAbrams,0.0,0.059,0.059
113,397,jtfmumm,0.0,0.059,0.059
114,396,joeframbach,0.0,0.059,0.059
115,395,jigsawye,0.0,0.059,0.059
116,394,drdogbot7,0.0,0.059,0.059
117,393,jensechu,0.0,0.059,0.059
118,392,jellekralt,0.0,0.059,0.059
119,391,jshen212,0.0,0.059,0.059
120,390,jeffcousins,0.0,0.059,0.059
121,389,jahvi,0.0,0.059,0.059
122,302,RKushnir,0.011,0.059,0.06999999999999999
123,388,jason-ellis,0.0,0.059,0.059
124,387,JasonBoy,0.0,0.059,0.059
125,386,jadnco,0.0,0.059,0.059
126,406,framini,0.0,0.059,0.059
127,407,fredrikolovsson,0.0,0.059,0.059
128,408,gpedro,0.0,0.059,0.059
129,420,joscha,0.0,0.059,0.059
130,430,m-inh,0.0,0.059,0.059
131,429,mapb,0.0,0.059,0.059
132,428,apaleslimghost,0.0,0.059,0.059
133,427,matiassingers,0.0,0.059,0.059
134,425,mdarse,0.0,0.059,0.059
135,424,martjanz,0.0,0.059,0.059
136,423,mstorus,0.0,0.059,0.059
137,422,marksanghoonkim,0.0,0.059,0.059
138,421,negativetwelve,0.0,0.059,0.059
139,419,feross,0.0,0.059,0.059
140,409,geo4orce,0.0,0.059,0.059
141,418,foaly-nr1,0.0,0.059,0.059
142,417,jontejada,0.0,0.059,0.059
143,416,heejongahn,0.0,0.059,0.059
144,415,gustavoisensee,0.0,0.059,0.059
145,414,jgwerner,0.0,0.059,0.059
146,413,glgoose,0.0,0.059,0.059
147,412,omarduarte,0.0,0.059,0.059
148,411,gianpaj,0.0,0.059,0.059
