Github Ranking,Total Ranking,login,noncode%,code%,total%
1,1,mbostock,35.732,72.537,108.269
2,2,jasondavies,1.68,18.246,19.926
3,5,kitmonisit,0.0,1.176,1.176
4,3,Fil,1.179,1.035,2.214
5,9,27359794,0.0,0.635,0.635
6,19,larskotthoff,0.0,0.259,0.259
7,8,natevw,0.451,0.259,0.71
8,20,yasirs,0.0,0.259,0.259
9,28,square-build-bot,0.0,0.212,0.212
10,41,jheer,0.0,0.188,0.188
11,40,leodutra,0.0,0.188,0.188
12,39,scottcheng,0.0,0.188,0.188
13,52,mrcarlosrendon,0.0,0.165,0.165
14,51,NelsonMinar,0.0,0.165,0.165
15,50,webmonarch,0.0,0.165,0.165
16,71,hlvoorhees,0.0,0.141,0.141
17,70,trevnorris,0.0,0.141,0.141
18,38,dandv,0.075,0.118,0.193
19,91,pjjw,0.0,0.118,0.118
20,4,curran,1.906,0.094,2.0
21,69,mrblueblue,0.05,0.094,0.14400000000000002
22,89,snoble,0.025,0.094,0.119
23,90,jfirebaugh,0.025,0.094,0.119
24,11,splendido,0.401,0.094,0.495
25,68,dwt,0.075,0.071,0.146
26,256,zenmoto,0.0,0.071,0.071
27,248,alexmacy,0.0,0.071,0.071
28,255,trinary,0.0,0.071,0.071
29,253,iterion,0.0,0.071,0.071
30,249,kmindi,0.0,0.071,0.071
31,250,jisaacks,0.0,0.071,0.071
32,251,tbranyen,0.0,0.071,0.071
33,254,notlion,0.0,0.071,0.071
34,252,GerHobbelt,0.0,0.071,0.071
35,551,caged,0.0,0.047,0.047
36,550,denisname,0.0,0.047,0.047
37,552,clkao,0.0,0.047,0.047
38,542,pelson,0.0,0.047,0.047
39,549,dorotka,0.0,0.047,0.047
40,548,vanshady,0.0,0.047,0.047
41,555,adnan-wahab,0.0,0.047,0.047
42,554,davelandry,0.0,0.047,0.047
43,553,johan,0.0,0.047,0.047
44,547,jonseymour,0.0,0.047,0.047
45,546,serhalp,0.0,0.047,0.047
46,545,xaviershay,0.0,0.047,0.047
47,544,wilg,0.0,0.047,0.047
48,543,timmywil,0.0,0.047,0.047
49,88,deanmalmgren,0.075,0.047,0.122
50,243,askmike,0.025,0.047,0.07200000000000001
51,246,cvrebert,0.025,0.047,0.07200000000000001
52,541,jaredly,0.0,0.047,0.047
53,540,guybedford,0.0,0.047,0.047
54,539,asuth,0.0,0.047,0.047
55,538,stuglaser,0.0,0.047,0.047
56,87,arjenvanoostrum,0.075,0.047,0.122
57,247,ZJONSSON,0.025,0.047,0.07200000000000001
58,245,biovisualize,0.025,0.047,0.07200000000000001
59,244,e-,0.025,0.047,0.07200000000000001
60,534,tmcw,0.025,0.024,0.049
61,531,mpersing,0.025,0.024,0.049
62,532,ilyabo,0.025,0.024,0.049
63,533,vladh,0.025,0.024,0.049
64,241,rbu,0.05,0.024,0.07400000000000001
65,535,tpreusse,0.025,0.024,0.049
66,536,mauromelis,0.025,0.024,0.049
67,240,Dev-Lan,0.05,0.024,0.07400000000000001
68,242,Alex--wu,0.05,0.024,0.07400000000000001
69,239,eglassman,0.05,0.024,0.07400000000000001
70,537,jimkang,0.025,0.024,0.049
71,1293,theoreticaLee,0.0,0.024,0.024
72,1289,foolip,0.0,0.024,0.024
73,1323,mserinjane,0.0,0.024,0.024
74,1314,alexandersimoes,0.0,0.024,0.024
75,1315,alon,0.0,0.024,0.024
76,1316,andycjw,0.0,0.024,0.024
77,1317,baerrach,0.0,0.024,0.024
78,1318,bdon,0.0,0.024,0.024
79,1319,danmilon,0.0,0.024,0.024
80,1320,tillberg,0.0,0.024,0.024
81,1321,voidstardb,0.0,0.024,0.024
82,1322,oller,0.0,0.024,0.024
83,1324,zerolinux5,0.0,0.024,0.024
84,1290,stepheneb,0.0,0.024,0.024
85,1325,fabriciotav,0.0,0.024,0.024
86,1326,ffosilva,0.0,0.024,0.024
87,1327,geowa4,0.0,0.024,0.024
88,1328,GerardHundman,0.0,0.024,0.024
89,1329,pgilad,0.0,0.024,0.024
90,1330,ignacioola,0.0,0.024,0.024
91,1331,isaacs,0.0,0.024,0.024
92,1332,jmalonzo,0.0,0.024,0.024
93,1333,jefkoslowski,0.0,0.024,0.024
94,1313,krid,0.0,0.024,0.024
95,1312,radford,0.0,0.024,0.024
96,1311,Freeyorp,0.0,0.024,0.024
97,1310,alexstrat,0.0,0.024,0.024
98,1291,rogerbramon,0.0,0.024,0.024
