Github Ranking,Total Ranking,login,noncode%,code%,total%
1,1,donnemartin,46.021,58.389,104.41
2,2,satob,0.433,3.356,3.7889999999999997
3,5,fluency03,0.346,2.013,2.359
4,3,sqrthree,1.557,1.342,2.899
5,23,ianpark,0.0,0.671,0.671
6,25,antongulikov,0.0,0.671,0.671
7,26,glusa8,0.0,0.671,0.671
8,27,ralphite,0.0,0.671,0.671
9,28,manaskarekar,0.0,0.671,0.671
10,12,yangshun,0.26,0.671,0.931
11,11,luisbg,0.26,0.671,0.931
12,6,kevingo,1.384,0.671,2.0549999999999997
13,24,fabriziocucci,0.0,0.671,0.671
14,84,hakaari,0.0,0.336,0.336
15,83,baldassarreFe,0.0,0.336,0.336
16,82,YikSanChan,0.0,0.336,0.336
17,81,b3wsh,0.0,0.336,0.336
18,80,vyq,0.0,0.336,0.336
19,86,guptamanas1998,0.0,0.336,0.336
20,87,techgaun,0.0,0.336,0.336
21,88,yaoxiaotong,0.0,0.336,0.336
22,76,meteor199,0.0,0.336,0.336
23,79,userstartupideas,0.0,0.336,0.336
24,78,shiyujiucsb,0.0,0.336,0.336
25,77,panguncle,0.0,0.336,0.336
26,90,peteryao7,0.0,0.336,0.336
27,75,leontyr,0.0,0.336,0.336
28,74,lzyzsd,0.0,0.336,0.336
29,73,CodeMySky,0.0,0.336,0.336
30,72,breakliu,0.0,0.336,0.336
31,71,dajiao007,0.0,0.336,0.336
32,70,youngchul,0.0,0.336,0.336
33,69,d12e493,0.0,0.336,0.336
34,68,dannyjung90,0.0,0.336,0.336
35,67,Wintus,0.0,0.336,0.336
36,66,CharlesSantiago,0.0,0.336,0.336
37,89,robertding,0.0,0.336,0.336
38,97,masaodev,0.0,0.336,0.336
39,91,OlafvdSpek,0.0,0.336,0.336
40,104,karoliina,0.0,0.336,0.336
41,114,zanemayo,0.0,0.336,0.336
42,113,RoxasShadow,0.0,0.336,0.336
43,112,zboigor,0.0,0.336,0.336
44,111,inakiabt,0.0,0.336,0.336
45,110,jpcaparas,0.0,0.336,0.336
46,109,jxub,0.0,0.336,0.336
47,108,Jamstah,0.0,0.336,0.336
48,107,John-Richardson,0.0,0.336,0.336
49,106,joilson-cisne,0.0,0.336,0.336
50,105,whoan,0.0,0.336,0.336
51,103,kevinliu23,0.0,0.336,0.336
52,92,noebrito,0.0,0.336,0.336
53,102,veloxy,0.0,0.336,0.336
54,101,kof-f,0.0,0.336,0.336
55,100,ZJUGuoShuai,0.0,0.336,0.336
56,99,larrylv,0.0,0.336,0.336
57,98,vemikhaylov,0.0,0.336,0.336
58,64,ygdanchoi,0.0,0.336,0.336
59,96,Xom,0.0,0.336,0.336
60,95,varshavjm,0.0,0.336,0.336
61,94,Gaafar,0.0,0.336,0.336
62,93,narenchoudhary,0.0,0.336,0.336
63,65,bryanjenningz,0.0,0.336,0.336
64,85,RGirish,0.0,0.336,0.336
65,63,bengadbois,0.0,0.336,0.336
66,43,danieljl,0.087,0.336,0.42300000000000004
67,38,tangkangkai,0.173,0.336,0.509
68,37,serima,0.173,0.336,0.509
69,36,mad01,0.173,0.336,0.509
70,33,kevinxuv,0.26,0.336,0.5960000000000001
71,32,saurav-2104,0.26,0.336,0.5960000000000001
72,31,koudaiii,0.26,0.336,0.5960000000000001
73,22,morenoh149,0.346,0.336,0.6819999999999999
74,19,Skn0tt,0.433,0.336,0.769
75,18,mebjas,0.433,0.336,0.769
76,16,duynguyenhoang,0.519,0.336,0.855
