Github Ranking,Total Ranking,login,noncode%,code%,total%
1,1,getify,47.316,83.682,130.998
2,3,machineloop,0.054,0.987,1.041
3,6,pdawyndt,0.054,0.581,0.635
4,8,4thana,0.0,0.581,0.581
5,10,zackgao,0.0,0.523,0.523
6,13,harpreetkhalsagtbit,0.0,0.465,0.465
7,18,magul,0.054,0.348,0.40199999999999997
8,22,ryanplusplus,0.054,0.29,0.344
9,33,diogocampos,0.0,0.232,0.232
10,32,imurchie,0.0,0.232,0.232
11,30,severyanov,0.027,0.232,0.259
12,59,skeep,0.0,0.174,0.174
13,60,davidtheclark,0.0,0.174,0.174
14,58,varun06,0.0,0.174,0.174
15,35,parid0kht,0.054,0.174,0.22799999999999998
16,34,kemar,0.054,0.174,0.22799999999999998
17,27,wKich,0.107,0.174,0.28099999999999997
18,23,ljharb,0.161,0.174,0.33499999999999996
19,57,cncolder,0.0,0.174,0.174
20,102,OLawD,0.0,0.116,0.116
21,43,rwaldron,0.081,0.116,0.197
22,113,ad-si,0.0,0.116,0.116
23,112,codylindley,0.0,0.116,0.116
24,111,darkwing,0.0,0.116,0.116
25,61,mdouglasbrett,0.054,0.116,0.17
26,62,pelonpelon,0.054,0.116,0.17
27,110,Delapouite,0.0,0.116,0.116
28,109,framini,0.0,0.116,0.116
29,108,georgymh,0.0,0.116,0.116
30,107,imhaleyfyi,0.0,0.116,0.116
31,74,infinnie,0.027,0.116,0.14300000000000002
32,106,rengokantai,0.0,0.116,0.116
33,75,danthareja,0.027,0.116,0.14300000000000002
34,77,hoodwink73,0.027,0.116,0.14300000000000002
35,105,whitepear,0.0,0.116,0.116
36,78,zacharyrankin,0.027,0.116,0.14300000000000002
37,99,fay-jai,0.0,0.116,0.116
38,100,jrencz,0.0,0.116,0.116
39,104,lw7360,0.0,0.116,0.116
40,103,NobleMule,0.0,0.116,0.116
41,101,yannmadeleine,0.0,0.116,0.116
42,76,jtassia,0.027,0.116,0.14300000000000002
43,42,umpox,0.081,0.116,0.197
44,26,mallowigi,0.188,0.116,0.304
45,36,chrisdickinson,0.107,0.116,0.223
46,259,abroz,0.0,0.058,0.058
47,261,CruzMolina,0.0,0.058,0.058
48,262,carlosbaraza,0.0,0.058,0.058
49,263,davepreston,0.0,0.058,0.058
50,264,dannyc,0.0,0.058,0.058
51,265,michaelwilcox,0.0,0.058,0.058
52,266,pathway27,0.0,0.058,0.058
53,267,simonebrunozzi,0.0,0.058,0.058
54,268,shkesar,0.0,0.058,0.058
55,269,chenxsan,0.0,0.058,0.058
56,337,fanofxiaofeng,0.0,0.058,0.058
57,336,mmmaaatttttt,0.0,0.058,0.058
58,335,joeysino,0.0,0.058,0.058
59,334,JohnTigue,0.0,0.058,0.058
60,333,justinj,0.0,0.058,0.058
61,332,Li-YangZhong,0.0,0.058,0.058
62,331,kfitfk,0.0,0.058,0.058
63,330,lyle,0.0,0.058,0.058
64,329,JoahG,0.0,0.058,0.058
65,328,martinthogersen,0.0,0.058,0.058
66,327,mathiasbynens,0.0,0.058,0.058
67,326,elefontpress,0.0,0.058,0.058
68,325,matthamil,0.0,0.058,0.058
69,324,michaelck,0.0,0.058,0.058
70,260,ascasson,0.0,0.058,0.058
71,258,AndrewKe,0.0,0.058,0.058
72,270,sachinmaskalle,0.0,0.058,0.058
73,257,radarhere,0.0,0.058,0.058
74,153,elahmo,0.027,0.058,0.085
75,154,alexreardon,0.027,0.058,0.085
76,155,shawndumas,0.027,0.058,0.085
77,156,cardern,0.027,0.058,0.085
78,157,BastianHofmann,0.027,0.058,0.085
79,158,benbrandt,0.027,0.058,0.085
80,159,Jenn,0.027,0.058,0.085
81,160,mleah,0.027,0.058,0.085
82,161,morganestes,0.027,0.058,0.085
83,162,hekkim,0.027,0.058,0.085
84,163,AgtLucas,0.027,0.058,0.085
85,245,bmusin,0.0,0.058,0.058
86,246,btoll,0.0,0.058,0.058
87,247,bryanjenningz,0.0,0.058,0.058
88,248,btholt,0.0,0.058,0.058
89,249,bistacos,0.0,0.058,0.058
90,250,bogdanjsx,0.0,0.058,0.058
91,251,bharani91,0.0,0.058,0.058
92,252,andydavies,0.0,0.058,0.058
93,253,benkeeney,0.0,0.058,0.058
94,254,Asipita,0.0,0.058,0.058
95,255,ashishpatelcs,0.0,0.058,0.058
96,256,SupaJoon,0.0,0.058,0.058
97,323,michaellopez,0.0,0.058,0.058
98,271,rlbisbe,0.0,0.058,0.058
99,314,DickvdBrink,0.0,0.058,0.058
100,272,sonnerberg,0.0,0.058,0.058
101,296,willpiers,0.0,0.058,0.058
102,297,vincecampanale,0.0,0.058,0.058
103,298,VictorVation,0.0,0.058,0.058
104,299,m-kermani,0.0,0.058,0.058
105,300,regularmike,0.0,0.058,0.058
106,301,scraggo,0.0,0.058,0.058
107,319,jayullman,0.0,0.058,0.058
108,318,jasonblanchard,0.0,0.058,0.058
109,317,corpulentcoffee,0.0,0.058,0.058
110,316,davidluzgouveia,0.0,0.058,0.058
111,315,dsaw,0.0,0.058,0.058
112,302,mpint,0.0,0.058,0.058
113,303,ibjhb,0.0,0.058,0.058
114,304,neu5,0.0,0.058,0.058
115,305,jakearchibald,0.0,0.058,0.058
116,306,ivandotv,0.0,0.058,0.058
117,307,lifebeyondfife,0.0,0.058,0.058
118,308,HugoGiraudel,0.0,0.058,0.058
119,309,franckuser16,0.0,0.058,0.058
120,310,ezhilvendhan,0.0,0.058,0.058
121,311,snqb,0.0,0.058,0.058
122,312,ENuge,0.0,0.058,0.058
123,313,dylanbhughes,0.0,0.058,0.058
124,295,WillClayworth,0.0,0.058,0.058
125,294,woocyun,0.0,0.058,0.058
126,293,YounesTea,0.0,0.058,0.058
127,283,TrevorEdwards,0.0,0.058,0.058
128,273,RandyJRB,0.0,0.058,0.058
129,274,rkrupinski,0.0,0.058,0.058
130,275,prayagverma,0.0,0.058,0.058
131,276,PatrickJS,0.0,0.058,0.058
132,277,nickpapasavvas,0.0,0.058,0.058
133,278,nicholaslee119,0.0,0.058,0.058
134,279,MustLearnMore,0.0,0.058,0.058
135,280,mouafa,0.0,0.058,0.058
136,281,sunsations,0.0,0.058,0.058
137,282,tomsugden,0.0,0.058,0.058
138,284,adityapunjani,0.0,0.058,0.058
139,292,devWayne,0.0,0.058,0.058
140,286,starandtina,0.0,0.058,0.058
141,287,hartca,0.0,0.058,0.058
142,288,guymelef,0.0,0.058,0.058
143,289,dagolinuxoid,0.0,0.058,0.058
144,290,al002,0.0,0.058,0.058
145,322,micmath,0.0,0.058,0.058
146,151,aladdine,0.027,0.058,0.085
147,321,martinwheeler,0.0,0.058,0.058
148,320,Jedeu,0.0,0.058,0.058
149,291,zsoltime,0.0,0.058,0.058
150,152,JoseBalado,0.027,0.058,0.085
151,285,zigomir,0.0,0.058,0.058
152,150,wewea,0.027,0.058,0.085
153,84,awareness481,0.081,0.058,0.139
154,37,deltaidea,0.161,0.058,0.219
155,63,wojonet,0.107,0.058,0.165
156,64,rayshan,0.107,0.058,0.165
157,65,sdras,0.107,0.058,0.165
158,11,pertrai1,0.456,0.058,0.514
159,9,MehdiRaash,0.483,0.058,0.541
160,79,zcserei,0.081,0.058,0.139
161,80,kevcomedia,0.081,0.058,0.139
162,44,elkebirmed,0.134,0.058,0.192
163,82,illourr,0.081,0.058,0.139
164,83,DJTB,0.081,0.058,0.139
165,81,airandfingers,0.081,0.058,0.139
166,45,cssjunkie,0.134,0.058,0.192
167,149,LukaszBrygala,0.027,0.058,0.085
168,116,cdtapay,0.054,0.058,0.112
169,117,henrebotha,0.054,0.058,0.112
170,118,booc0mtaco,0.054,0.058,0.112
171,114,P1xt,0.054,0.058,0.112
172,115,gryffs,0.054,0.058,0.112
173,148,LFDM,0.027,0.058,0.085
174,711,trulyronak,0.027,0.0,0.027
175,710,anuragaravindjoshi,0.027,0.0,0.027
176,709,we11adam,0.027,0.0,0.027
177,708,haniworld,0.027,0.0,0.027
178,703,kwccoin,0.027,0.0,0.027
179,706,andrjuha01,0.027,0.0,0.027
180,712,ethanchoi812,0.027,0.0,0.027
181,705,Nikitaw99,0.027,0.0,0.027
182,681,Spike-Leung,0.027,0.0,0.027
183,713,akras14,0.027,0.0,0.027
184,714,redoz94,0.027,0.0,0.027
185,704,JianMeng,0.027,0.0,0.027
186,715,haitaoxin,0.027,0.0,0.027
187,707,emealcubo,0.027,0.0,0.027
188,686,casbee,0.027,0.0,0.027
189,702,EstebanEndava,0.027,0.0,0.027
190,687,dimidrola,0.027,0.0,0.027
191,688,DawoodShahat,0.027,0.0,0.027
192,689,mqliutie,0.027,0.0,0.027
193,690,OgaBoss,0.027,0.0,0.027
194,691,ismailbayram,0.027,0.0,0.027
195,692,sunfreitas,0.027,0.0,0.027
196,693,saraf,0.027,0.0,0.027
197,694,transedward,0.027,0.0,0.027
198,695,tdamsma,0.027,0.0,0.027
199,685,KirankumarAmbati,0.027,0.0,0.027
200,696,firebase007,0.027,0.0,0.027
201,684,juan-sierra,0.027,0.0,0.027
202,683,kaijiaLin,0.027,0.0,0.027
203,682,barberboy,0.027,0.0,0.027
204,697,stropitek,0.027,0.0,0.027
205,698,panzerdp,0.027,0.0,0.027
206,699,niksofteng,0.027,0.0,0.027
207,700,davidmackhello,0.027,0.0,0.027
208,701,jaoyina,0.027,0.0,0.027
209,718,yvan-sraka,0.027,0.0,0.027
210,716,Pashtunzoy,0.027,0.0,0.027
211,717,IanFLee,0.027,0.0,0.027
212,744,determin1st,0.027,0.0,0.027
213,745,gabsprates,0.027,0.0,0.027
214,746,casanovavitae,0.027,0.0,0.027
215,747,vdemario,0.027,0.0,0.027
216,748,oskarkv,0.027,0.0,0.027
217,749,a-c-sreedhar-reddy,0.027,0.0,0.027
218,750,noircir,0.027,0.0,0.027
219,751,ytsejammer,0.027,0.0,0.027
220,752,maximivanov,0.027,0.0,0.027
221,753,justsml,0.027,0.0,0.027
