Github Ranking,Total Ranking,login,noncode%,code%,total%
1,1,shiftkey,54.762,29.915,84.67699999999999
2,2,arcresu,6.465,15.025,21.490000000000002
3,3,aroben,0.039,5.533,5.572
4,4,defunkt,0.039,4.588,4.627
5,6,jspahrsummers,0.019,1.35,1.369
6,8,thedaniel,0.0,0.765,0.765
7,9,d2s,0.0,0.765,0.765
8,11,haacked,0.058,0.63,0.6880000000000001
9,16,stuartpb,0.0,0.585,0.585
10,14,niik,0.077,0.585,0.6619999999999999
11,12,bbodenmiller,0.097,0.585,0.6819999999999999
12,19,mibe,0.0,0.54,0.54
13,13,ArgentiApparatus,0.174,0.495,0.669
14,18,Arvur,0.058,0.495,0.553
15,15,jayvdb,0.194,0.45,0.644
16,21,maieul,0.039,0.405,0.444
17,22,koppor,0.039,0.405,0.444
18,24,AArnott,0.077,0.315,0.392
19,30,rye,0.0,0.315,0.315
20,29,martonmiklos,0.019,0.315,0.334
21,28,HassanHashemi,0.039,0.315,0.354
22,40,sherzodv,0.0,0.27,0.27
23,26,rafaelstz,0.097,0.27,0.367
24,39,sjaeckel,0.0,0.27,0.27
25,38,JasonGross,0.0,0.27,0.27
26,10,Coeur,0.426,0.27,0.696
27,52,oschrenk,0.0,0.225,0.225
28,53,peat,0.0,0.225,0.225
29,51,mkutyba,0.0,0.225,0.225
30,54,leandrodeleite,0.0,0.225,0.225
31,56,mrtazz,0.0,0.225,0.225
32,55,x3ro,0.0,0.225,0.225
33,50,sheabunge,0.0,0.225,0.225
34,33,jerodev,0.058,0.225,0.28300000000000003
35,32,KrauseFx,0.077,0.225,0.302
36,25,andres-mancera,0.155,0.225,0.38
37,27,Yousha,0.136,0.225,0.361
38,34,sayedihashimi,0.097,0.18,0.277
39,79,thurask,0.0,0.18,0.18
40,59,fidmor89,0.039,0.18,0.219
41,81,DenJohX,0.0,0.18,0.18
42,80,chiragsanghavi,0.0,0.18,0.18
43,62,mviranyi,0.019,0.18,0.19899999999999998
44,63,exalted,0.019,0.18,0.19899999999999998
45,64,saschanaz,0.019,0.18,0.19899999999999998
46,35,kevmoo,0.097,0.18,0.277
47,57,habi,0.039,0.18,0.219
48,78,fhemberger,0.0,0.18,0.18
49,77,acelaya,0.0,0.18,0.18
50,76,ddfreyne,0.0,0.18,0.18
51,70,sebgod,0.0,0.18,0.18
52,71,meisam,0.0,0.18,0.18
53,72,tnm,0.0,0.18,0.18
54,73,josefglatz,0.0,0.18,0.18
55,58,dangu,0.039,0.18,0.219
56,74,jean,0.0,0.18,0.18
57,44,bamapookie,0.058,0.18,0.238
58,75,OsirisTerje,0.0,0.18,0.18
59,128,rogersuen,0.0,0.135,0.135
60,102,LazarusX,0.019,0.135,0.154
61,103,vvolkgang,0.019,0.135,0.154
62,104,jamiehumphries,0.019,0.135,0.154
63,105,KoynovStas,0.019,0.135,0.154
64,107,tcthien,0.019,0.135,0.154
65,108,DSIW,0.019,0.135,0.154
66,119,SamyPesse,0.0,0.135,0.135
67,127,nysa,0.0,0.135,0.135
68,120,Visgean,0.0,0.135,0.135
69,121,kylef,0.0,0.135,0.135
70,122,manavm,0.0,0.135,0.135
71,123,matheussl,0.0,0.135,0.135
72,124,nicwortel,0.0,0.135,0.135
73,125,TennyZhuang,0.0,0.135,0.135
74,126,wmarquardt,0.0,0.135,0.135
75,132,tjgrilley,0.0,0.135,0.135
76,129,onion7878,0.0,0.135,0.135
