Github Ranking,Total Ranking,login,noncode%,code%,total%
1,1,jwasham,44.586,45.836,90.422
2,2,avizmarlon,0.602,5.409,6.011
3,3,YoSaucedo,0.201,5.338,5.539
4,5,aleen42,0.0,3.772,3.772
5,4,Ilyushin,2.005,3.416,5.420999999999999
6,7,dossorio,1.003,2.135,3.138
7,8,letientai299,0.869,1.922,2.791
8,9,vsay01,0.334,1.352,1.6860000000000002
9,6,SaurabhSM,2.34,1.281,3.6209999999999996
10,10,joonas-yoon,0.535,1.139,1.674
11,14,sqrthree,0.067,1.068,1.135
12,17,marceloogeda,0.067,0.854,0.921
13,16,askeroff,0.201,0.783,0.984
14,18,mbiesiad,0.067,0.783,0.8500000000000001
15,15,Carmezim,0.267,0.783,1.05
16,19,PandaJules,0.134,0.712,0.846
17,12,wilkoklak,0.468,0.712,1.18
18,11,santosomichael,0.535,0.712,1.2469999999999999
19,20,mikhailusov,0.201,0.641,0.8420000000000001
20,13,rvlewerissa,0.602,0.569,1.1709999999999998
21,27,dangkhoasdc,0.067,0.498,0.565
22,23,moonik,0.267,0.427,0.694
23,28,PavloKapyshin,0.134,0.427,0.5609999999999999
24,31,Hanney-Ryu,0.067,0.427,0.494
25,38,Glowin,0.0,0.427,0.427
26,37,Newt0n,0.0,0.427,0.427
27,24,flyotlin,0.267,0.356,0.623
28,29,aporiadin,0.201,0.356,0.5569999999999999
29,30,d1mnewz,0.201,0.356,0.5569999999999999
30,32,daveleee,0.134,0.356,0.49
31,39,hezhizhen,0.067,0.356,0.423
32,64,AungMyoKyaw,0.0,0.285,0.285
33,45,dikiaap,0.067,0.285,0.352
34,65,kathu,0.0,0.285,0.285
35,63,Chehaco,0.0,0.285,0.285
36,41,dapp1990,0.134,0.285,0.419
37,40,kindraywind,0.134,0.285,0.419
38,62,ladrift,0.0,0.285,0.285
39,33,amoulkaf,0.201,0.285,0.486
40,68,AyaAzzam,0.067,0.214,0.281
41,79,anchung333,0.0,0.214,0.214
42,67,brunoguic,0.067,0.214,0.281
43,66,Himanshu-77,0.067,0.214,0.281
44,81,albertux,0.0,0.214,0.214
45,49,fahminlb33,0.134,0.214,0.348
46,83,duytruong,0.0,0.214,0.214
47,84,laris151,0.0,0.214,0.214
48,82,IanBoyanZhang,0.0,0.214,0.214
49,80,toneloc,0.0,0.214,0.214
50,42,jarvisluong,0.201,0.214,0.41500000000000004
51,48,donnemartin,0.134,0.214,0.348
52,47,OhIAmFine,0.134,0.214,0.348
53,46,armandfardeau,0.134,0.214,0.348
54,50,atultherajput,0.201,0.142,0.34299999999999997
55,85,Kiricon,0.067,0.142,0.209
56,86,tahsinrahman,0.067,0.142,0.209
57,87,hienvd,0.067,0.142,0.209
58,88,spartzames,0.067,0.142,0.209
59,89,varunu28,0.067,0.142,0.209
60,90,vulcoes,0.067,0.142,0.209
61,91,AlexandroLuis,0.067,0.142,0.209
62,92,rakshaa2000,0.067,0.142,0.209
63,93,sjaramillo10,0.067,0.142,0.209
64,126,ajinkyal121,0.0,0.142,0.142
65,125,microMolvi,0.0,0.142,0.142
66,124,daegwang,0.0,0.142,0.142
67,51,YanaBe,0.201,0.142,0.34299999999999997
68,25,thovo,0.468,0.142,0.61
69,123,ToBeWangMing,0.0,0.142,0.142
70,122,YDrall,0.0,0.142,0.142
71,121,antonkapyshin,0.0,0.142,0.142
72,120,MaxKam,0.0,0.142,0.142
73,119,redmou,0.0,0.142,0.142
74,118,Lereena,0.0,0.142,0.142
75,112,lokanathchandrareddy,0.0,0.142,0.142
76,113,utsavized,0.0,0.142,0.142
77,114,rimonmostafiz,0.0,0.142,0.142
78,115,BBloggsbott,0.0,0.142,0.142
79,117,qiwihui,0.0,0.142,0.142
80,116,gainauntu,0.0,0.142,0.142
81,52,Drakkkath,0.201,0.142,0.34299999999999997
82,53,phondanai,0.201,0.142,0.34299999999999997
83,69,justaaguy,0.134,0.142,0.276
84,43,akashgiricse,0.267,0.142,0.40900000000000003
85,34,iphayao,0.334,0.142,0.476
86,214,fadifrancis,0.0,0.071,0.071
87,201,vpbhargav,0.0,0.071,0.071
88,224,mjpark03,0.0,0.071,0.071
89,203,postBG,0.0,0.071,0.071
90,202,bvasisht,0.0,0.071,0.071
91,199,amorriscode,0.0,0.071,0.071
92,200,uppusaikiran,0.0,0.071,0.071
93,198,nomicos,0.0,0.071,0.071
94,197,radarhere,0.0,0.071,0.071
95,196,anamritraj,0.0,0.071,0.071
96,195,hiiakku,0.0,0.071,0.071
97,194,coderaky,0.0,0.071,0.071
98,223,miku86,0.0,0.071,0.071
99,222,MikeBurnsDev,0.0,0.071,0.071
100,221,mfurga,0.0,0.071,0.071
101,208,yuta-kawai,0.0,0.071,0.071
102,213,emmanuelepp,0.0,0.071,0.071
103,216,justHungryMan,0.0,0.071,0.071
104,212,davidsetyanugraha,0.0,0.071,0.071
105,211,cybosoft,0.0,0.071,0.071
106,210,bronzdoc,0.0,0.071,0.071
107,209,ziishaned,0.0,0.071,0.071
108,207,VFedyk,0.0,0.071,0.071
109,220,malcolmessaid,0.0,0.071,0.071
110,206,gotswoop,0.0,0.071,0.071
111,205,Shaffan,0.0,0.071,0.071
112,204,beingStar,0.0,0.071,0.071
113,217,kalasoo,0.0,0.071,0.071
114,218,HongChenTW,0.0,0.071,0.071
115,219,loustler,0.0,0.071,0.071
116,215,laobie,0.0,0.071,0.071
117,232,JadeTheZapper,0.0,0.071,0.071
118,225,nhi-nguyen-csis,0.0,0.071,0.071
119,243,dlarner3194,0.0,0.071,0.071
120,245,kwangin,0.0,0.071,0.071
121,246,diemax,0.0,0.071,0.071
122,247,ezebecke,0.0,0.071,0.071
123,248,nandokakimoto,0.0,0.071,0.071
124,249,jhoffner,0.0,0.071,0.071
125,250,vadoff,0.0,0.071,0.071
126,251,Myeongjoon,0.0,0.071,0.071
127,261,thephilwells,0.0,0.071,0.071
128,260,Noel-bk,0.0,0.071,0.071
129,252,kerolloz,0.0,0.071,0.071
130,253,lucalves,0.0,0.071,0.071
131,254,MahzadK,0.0,0.071,0.071
132,255,mateuszwitkowski,0.0,0.071,0.071
133,256,maxbeier,0.0,0.071,0.071
134,257,MoazMansour,0.0,0.071,0.071
135,258,Murgio,0.0,0.071,0.071
136,259,Nidhirajput1301,0.0,0.071,0.071
137,244,d2s,0.0,0.071,0.071
138,262,bhowmikp,0.0,0.071,0.071
139,226,sundb,0.0,0.071,0.071
140,263,ramazansakin,0.0,0.071,0.071
141,227,tzxdtc,0.0,0.071,0.071
142,228,tinyboy186,0.0,0.071,0.071
143,229,xindoo,0.0,0.071,0.071
144,230,xorover,0.0,0.071,0.071
145,231,hoonhoonhoon,0.0,0.071,0.071
146,233,firefire-iceice,0.0,0.071,0.071
147,234,ldss3sang,0.0,0.071,0.071
148,235,hwhung0111,0.0,0.071,0.071
149,236,ibrunotome,0.0,0.071,0.071
150,237,birdca,0.0,0.071,0.071
151,238,meteorfox,0.0,0.071,0.071
152,239,cspollar,0.0,0.071,0.071
153,240,chrispecoraro,0.0,0.071,0.071
154,241,cixtor,0.0,0.071,0.071
155,242,DanaKirsh,0.0,0.071,0.071
156,265,fxleyu,0.0,0.071,0.071
157,264,zake7749,0.0,0.071,0.071
158,193,benreyn,0.0,0.071,0.071
159,136,riverwell,0.067,0.071,0.138
160,135,devlware,0.067,0.071,0.138
161,70,AmrReda,0.201,0.071,0.272
162,134,Amanjakhetiya,0.067,0.071,0.138
163,131,tanaytoshniwal,0.067,0.071,0.138
164,130,shireeshaBongarala,0.067,0.071,0.138
165,137,strNophix,0.067,0.071,0.138
166,138,neihousaigaai,0.067,0.071,0.138
167,139,sbolel,0.067,0.071,0.138
168,140,dvanbrug,0.067,0.071,0.138
169,129,OysterSu,0.067,0.071,0.138
170,128,renanreismartins,0.067,0.071,0.138
171,127,Kyeongan,0.067,0.071,0.138
172,96,adhikariaman01,0.134,0.071,0.20500000000000002
173,95,djKooks,0.134,0.071,0.20500000000000002
174,94,ArturSkowronski,0.134,0.071,0.20500000000000002
175,132,arora-aditya,0.067,0.071,0.138
176,133,melongbob,0.067,0.071,0.138
177,54,meshuamam,0.267,0.071,0.338
178,381,harshit-Ghub,0.067,0.0,0.067
179,376,gladuz,0.067,0.0,0.067
180,401,knighthawl,0.067,0.0,0.067
181,402,Julila,0.067,0.0,0.067
182,403,kaokul,0.067,0.0,0.067
183,404,ankitsorathiya,0.067,0.0,0.067
184,405,HoweJI,0.067,0.0,0.067
185,406,aykutmayali,0.067,0.0,0.067
186,407,Sharath-majjigi,0.067,0.0,0.067
187,375,aashil,0.067,0.0,0.067
188,399,Johnny4Fun,0.067,0.0,0.067
189,374,gayu28,0.067,0.0,0.067
190,373,yash-46,0.067,0.0,0.067
191,372,thierryrene,0.067,0.0,0.067
192,459,segmentationfaulter,0.067,0.0,0.067
193,460,SURAJKP,0.067,0.0,0.067
194,461,hasanabuzayed,0.067,0.0,0.067
195,462,sm5duck,0.067,0.0,0.067
196,463,AYOUB-ops,0.067,0.0,0.067
197,400,rollmind,0.067,0.0,0.067
198,398,Willsoul,0.067,0.0,0.067
199,382,amirhmstu,0.067,0.0,0.067
200,397,nitishmal2,0.067,0.0,0.067
