Github Ranking,Total Ranking,login,noncode%,code%,total%
1,1,davemachado,34.605,35.481,70.086
2,3,jbrooksuk,8.651,6.909,15.559999999999999
3,4,mikestreety,8.481,6.701,15.181999999999999
4,5,toddmotto,5.96,5.143,11.103
5,2,yannbertrand,16.417,3.896,20.313000000000002
6,6,wesbos,1.873,2.286,4.159
7,9,HZooly,0.341,0.623,0.964
8,7,karllhughes,0.477,0.571,1.048
9,8,montogeek,0.443,0.571,1.014
10,12,hardikpthv,0.0,0.571,0.571
11,14,awalthefirst,0.0,0.468,0.468
12,15,marijaninjo,0.0,0.468,0.468
13,16,sonali623,0.034,0.416,0.44999999999999996
14,19,molcik,0.034,0.364,0.398
15,29,DylanDelobel,0.0,0.312,0.312
16,28,NaveenDA,0.0,0.312,0.312
17,20,chief10,0.068,0.312,0.38
18,13,brakmic,0.17,0.312,0.482
19,17,alxpez,0.102,0.312,0.414
20,23,ApCoder123,0.068,0.26,0.328
21,24,madisvain,0.068,0.26,0.328
22,25,xinitrc-dev,0.068,0.26,0.328
23,26,Morrolan,0.068,0.26,0.328
24,34,pyaillet,0.034,0.26,0.29400000000000004
25,33,hariKarthic,0.034,0.26,0.29400000000000004
26,10,xnekv03,0.341,0.26,0.601
27,52,Kikobeats,0.034,0.208,0.242
28,42,harishkotra,0.068,0.208,0.276
29,43,gilbertoolimpio,0.068,0.208,0.276
30,51,pelmenept,0.034,0.208,0.242
31,69,mjarkk,0.0,0.208,0.208
32,53,Perlkonig,0.034,0.208,0.242
33,70,0xBenjaminTaylor,0.0,0.208,0.208
34,54,farhansalam,0.034,0.208,0.242
35,55,samanyougarg,0.034,0.208,0.242
36,56,vahgar,0.034,0.208,0.242
37,40,MedUnes,0.068,0.208,0.276
38,41,MrDecipher,0.068,0.208,0.276
39,68,zsteeby,0.0,0.208,0.208
40,39,paralax,0.068,0.208,0.276
41,18,irfan-dahir,0.204,0.208,0.412
42,38,sourabhtk37,0.068,0.208,0.276
43,21,Cloudmersive,0.17,0.208,0.378
44,22,sakulich,0.136,0.208,0.344
45,30,marcobiedermann,0.102,0.208,0.31
46,31,s-nirali,0.102,0.208,0.31
47,36,vishr,0.068,0.208,0.276
48,37,i-break-codes,0.068,0.208,0.276
49,11,SitramSoft,0.375,0.208,0.583
50,96,xarlybovi,0.0,0.156,0.156
51,95,damianesteban,0.0,0.156,0.156
52,100,fjeld,0.0,0.156,0.156
53,101,ruiyangliu,0.0,0.156,0.156
54,94,dakshshah96,0.0,0.156,0.156
55,102,Loag,0.0,0.156,0.156
56,98,gheoan,0.0,0.156,0.156
57,93,christianhatch,0.0,0.156,0.156
58,92,RonildoSouza,0.0,0.156,0.156
59,91,fmalcher,0.0,0.156,0.156
60,90,htrgouvea,0.0,0.156,0.156
61,97,gstark,0.0,0.156,0.156
62,75,bittricky,0.034,0.156,0.19
63,74,8enSmith,0.034,0.156,0.19
64,99,maximgeerinck,0.0,0.156,0.156
65,73,ChrisGuzman,0.034,0.156,0.19
66,46,fevangelou,0.102,0.156,0.258
67,47,roelofr,0.102,0.156,0.258
68,61,caseyrollins,0.068,0.156,0.224
69,59,albertpak,0.068,0.156,0.224
70,58,ecwyne,0.068,0.156,0.224
71,27,navanchauhan,0.17,0.156,0.326
72,35,afabijan,0.136,0.156,0.29200000000000004
73,50,evancarter-iex,0.102,0.156,0.258
74,49,pellepersson,0.102,0.156,0.258
75,48,ratchakr,0.102,0.156,0.258
76,60,laurynas,0.068,0.156,0.224
77,62,alemesa,0.068,0.156,0.224
78,63,dfenjves,0.068,0.156,0.224
79,64,tigercosmos,0.068,0.156,0.224
80,65,hbakhtiyor,0.068,0.156,0.224
81,167,DanielArthurUK,0.0,0.104,0.104
82,148,chap19150,0.0,0.104,0.104
83,147,joshstar,0.0,0.104,0.104
84,168,abialbon,0.0,0.104,0.104
85,170,antimatter96,0.0,0.104,0.104
86,149,lcrea,0.0,0.104,0.104
87,171,reifnotreef,0.0,0.104,0.104
88,150,marcosnakamine,0.0,0.104,0.104
89,165,edsu,0.0,0.104,0.104
90,166,jasonhodges,0.0,0.104,0.104
91,157,Kyu,0.0,0.104,0.104
92,152,mAzurkovic,0.0,0.104,0.104
93,153,steveholt55,0.0,0.104,0.104
94,154,Gaafar,0.0,0.104,0.104
95,173,christian-vorhemus,0.0,0.104,0.104
96,155,whizzzkid,0.0,0.104,0.104
97,156,ondrg,0.0,0.104,0.104
98,158,paramt,0.0,0.104,0.104
99,151,matchilling,0.0,0.104,0.104
100,159,ballweg,0.0,0.104,0.104
101,160,payamnj,0.0,0.104,0.104
102,161,redmer,0.0,0.104,0.104
103,162,renopeno,0.0,0.104,0.104
104,163,rougin,0.0,0.104,0.104
105,164,jeremiahlee,0.0,0.104,0.104
106,172,Btibert3,0.0,0.104,0.104
107,181,zwakheid,0.0,0.104,0.104
108,174,pfftdammitchris,0.0,0.104,0.104
109,189,tomsisk,0.0,0.104,0.104
110,199,semalPatel,0.0,0.104,0.104
111,198,edent,0.0,0.104,0.104
112,197,tbetous,0.0,0.104,0.104
113,196,tmirmota,0.0,0.104,0.104
114,195,jackdoe,0.0,0.104,0.104
115,145,joshbegley,0.0,0.104,0.104
116,194,alcalbg,0.0,0.104,0.104
117,193,tgrander,0.0,0.104,0.104
118,192,scbizu,0.0,0.104,0.104
119,191,rnackman,0.0,0.104,0.104
120,190,indiakerle,0.0,0.104,0.104
121,188,intenscia,0.0,0.104,0.104
122,175,cacraig,0.0,0.104,0.104
123,187,tomershvueli,0.0,0.104,0.104
124,186,RemiDesgrange,0.0,0.104,0.104
125,185,HugoGEORGET,0.0,0.104,0.104
126,184,drihyd,0.0,0.104,0.104
127,183,gdrouet,0.0,0.104,0.104
128,182,stinkyfriend,0.0,0.104,0.104
129,180,freyfogle,0.0,0.104,0.104
130,179,diegoparrilla,0.0,0.104,0.104
131,178,derkweijers,0.0,0.104,0.104
132,177,jacklittleton,0.0,0.104,0.104
133,176,danog,0.0,0.104,0.104
134,146,MMayla,0.0,0.104,0.104
135,169,AnanthaRajuC,0.0,0.104,0.104
136,109,donroyco,0.034,0.104,0.138
137,85,hugonun,0.068,0.104,0.172
138,119,datamystic,0.034,0.104,0.138
139,118,httpete-ire,0.034,0.104,0.138
140,117,piedcipher,0.034,0.104,0.138
141,116,gillchristian,0.034,0.104,0.138
142,115,zebroc,0.034,0.104,0.138
143,114,TimotheeJeannin,0.034,0.104,0.138
144,113,guyfedwards,0.034,0.104,0.138
145,112,melwinalm,0.034,0.104,0.138
146,111,mcancellieri,0.034,0.104,0.138
147,110,hboon,0.034,0.104,0.138
148,78,THEAverageSpeedBurrito,0.068,0.104,0.172
149,108,afuh,0.034,0.104,0.138
150,107,timtheguy,0.034,0.104,0.138
151,106,danioso,0.034,0.104,0.138
152,79,zag2me,0.068,0.104,0.172
153,80,khaosdoctor,0.068,0.104,0.172
154,81,pareshchouhan,0.068,0.104,0.172
155,82,woliveiras,0.068,0.104,0.172
156,83,the-lay,0.068,0.104,0.172
157,120,manjulaRathnayaka,0.034,0.104,0.138
158,121,igneus,0.034,0.104,0.138
159,122,crocodele,0.034,0.104,0.138
160,126,interaminense,0.034,0.104,0.138
161,44,AlbertSuarez,0.17,0.104,0.274
162,123,skthon,0.034,0.104,0.138
163,57,abhinavk99,0.136,0.104,0.24
164,84,SampicBE,0.068,0.104,0.172
165,125,oferze,0.034,0.104,0.138
166,124,Epictek,0.034,0.104,0.138
167,389,rectifyer,0.0,0.052,0.052
168,383,joshdick,0.0,0.052,0.052
169,384,josue,0.0,0.052,0.052
170,385,juliankrispel,0.0,0.052,0.052
171,386,achedeuzot,0.0,0.052,0.052
172,387,JulienBreux,0.0,0.052,0.052
173,388,juristr,0.0,0.052,0.052
174,396,nunoarruda,0.0,0.052,0.052
175,395,gonzalec,0.0,0.052,0.052
176,391,kade-robertson,0.0,0.052,0.052
177,397,musooff,0.0,0.052,0.052
178,392,kenahrens,0.0,0.052,0.052
179,393,mbacchi,0.0,0.052,0.052
180,394,mclark4386,0.0,0.052,0.052
181,390,jhdoak,0.0,0.052,0.052
182,484,hermanzdosilovic,0.0,0.052,0.052
183,398,narbehaj,0.0,0.052,0.052
184,399,nathanpeck,0.0,0.052,0.052
185,421,marmanold,0.0,0.052,0.052
186,420,mehmetaergun,0.0,0.052,0.052
187,419,mayra-cabrera,0.0,0.052,0.052
188,418,devalnor,0.0,0.052,0.052
189,417,Illu,0.0,0.052,0.052
190,416,mbelsky,0.0,0.052,0.052
191,415,ibbatta,0.0,0.052,0.052
192,414,rizqirizqi,0.0,0.052,0.052
193,413,mgiraldo,0.0,0.052,0.052
194,412,mikasjp,0.0,0.052,0.052
195,411,mortenkleveland,0.0,0.052,0.052
196,410,hellopatrick,0.0,0.052,0.052
197,409,patrickk,0.0,0.052,0.052
198,408,weiland,0.0,0.052,0.052
199,407,Puigcerber,0.0,0.052,0.052
200,406,Hispar,0.0,0.052,0.052
201,405,onaralili,0.0,0.052,0.052
202,381,reithose,0.0,0.052,0.052
203,404,ngmikeng,0.0,0.052,0.052
204,403,obarat,0.0,0.052,0.052
205,402,nikosolihin,0.0,0.052,0.052
206,401,sneg55,0.0,0.052,0.052
207,400,nicholascross,0.0,0.052,0.052
208,382,babegadev,0.0,0.052,0.052
209,367,MarceloWis,0.0,0.052,0.052
210,380,JonathanReeve,0.0,0.052,0.052
211,349,atnbueno,0.0,0.052,0.052
212,357,adhamu,0.0,0.052,0.052
213,356,bxio,0.0,0.052,0.052
214,355,BigLobsterito,0.0,0.052,0.052
215,354,bennypowers,0.0,0.052,0.052
216,353,bpetetot,0.0,0.052,0.052
217,352,benhowdle89,0.0,0.052,0.052
218,351,auggod,0.0,0.052,0.052
219,350,arjunkesava,0.0,0.052,0.052
220,508,abashore97,0.0,0.052,0.052
221,379,johnnyghost,0.0,0.052,0.052
222,347,antoine-de,0.0,0.052,0.052
223,346,AninditaBasu,0.0,0.052,0.052
224,345,andypiper,0.0,0.052,0.052
225,344,andyklimczak,0.0,0.052,0.052
226,343,Villanuevand,0.0,0.052,0.052
227,342,lambda2,0.0,0.052,0.052
228,341,johnsonap,0.0,0.052,0.052
229,340,andrew,0.0,0.052,0.052
230,358,josh-byster,0.0,0.052,0.052
231,359,cyriac,0.0,0.052,0.052
232,360,rohimma,0.0,0.052,0.052
233,361,tigerlily-he,0.0,0.052,0.052
234,378,joaopedronardari,0.0,0.052,0.052
235,377,mmazzarolo,0.0,0.052,0.052
236,376,epidrome,0.0,0.052,0.052
237,375,lennonjesus,0.0,0.052,0.052
238,374,mlomb,0.0,0.052,0.052
239,373,mvanlaar,0.0,0.052,0.052
240,372,mrkutly,0.0,0.052,0.052
241,371,leemark,0.0,0.052,0.052
242,370,tmkuba,0.0,0.052,0.052
243,369,emlagowski,0.0,0.052,0.052
244,368,kjbrum,0.0,0.052,0.052
245,423,michaelbazos,0.0,0.052,0.052
246,366,luukdv,0.0,0.052,0.052
247,365,Paradoxis,0.0,0.052,0.052
248,364,LuisMayo,0.0,0.052,0.052
249,363,lucasfonmiranda,0.0,0.052,0.052
250,362,lucasMesquitaBorges,0.0,0.052,0.052
251,422,allred,0.0,0.052,0.052
252,439,ummahusla,0.0,0.052,0.052
253,424,mdouglasbrett,0.0,0.052,0.052
254,506,kelkarajay,0.0,0.052,0.052
255,498,gabrielbs,0.0,0.052,0.052
256,499,froi,0.0,0.052,0.052
257,500,aalises,0.0,0.052,0.052
258,501,polo2ro,0.0,0.052,0.052
259,502,alanhamlett,0.0,0.052,0.052
260,503,casheww,0.0,0.052,0.052
261,504,0xflotus,0.0,0.052,0.052
262,505,lelouchB,0.0,0.052,0.052
263,507,abhisharma2,0.0,0.052,0.052
264,425,mkjeldsen,0.0,0.052,0.052
265,475,jaimerod,0.0,0.052,0.052
266,474,visualpharm,0.0,0.052,0.052
267,473,IgorRozani,0.0,0.052,0.052
268,472,theIYD,0.0,0.052,0.052
269,471,typpo,0.0,0.052,0.052
270,470,iangcarroll,0.0,0.052,0.052
271,469,imayobrown,0.0,0.052,0.052
272,468,RegenJacob,0.0,0.052,0.052
273,497,gabrielgodoy,0.0,0.052,0.052
274,496,binarygary,0.0,0.052,0.052
275,495,aunyks,0.0,0.052,0.052
276,494,gsouquet,0.0,0.052,0.052
277,482,derhuerst,0.0,0.052,0.052
278,481,jamesseanwright,0.0,0.052,0.052
279,480,jamesward,0.0,0.052,0.052
280,479,jamosaur,0.0,0.052,0.052
281,478,jloh,0.0,0.052,0.052
282,477,janaipakos,0.0,0.052,0.052
283,476,fswijmans,0.0,0.052,0.052
284,485,Haroenv,0.0,0.052,0.052
285,486,haideralipunjabi,0.0,0.052,0.052
286,487,gorkem-cetin,0.0,0.052,0.052
287,488,GriffinAustin,0.0,0.052,0.052
288,489,vapurrmaid,0.0,0.052,0.052
289,490,localhots,0.0,0.052,0.052
290,491,Greg-Rose,0.0,0.052,0.052
291,492,darbyjack,0.0,0.052,0.052
292,493,giacomocerquone,0.0,0.052,0.052
293,338,gillstrom,0.0,0.052,0.052
294,467,Supamiu,0.0,0.052,0.052
295,466,finnoleary,0.0,0.052,0.052
296,465,foxxmg,0.0,0.052,0.052
297,444,emckean,0.0,0.052,0.052
298,442,efleming,0.0,0.052,0.052
299,441,eliassoares,0.0,0.052,0.052
300,440,DiegoRBaquero,0.0,0.052,0.052
301,483,ghoeffner,0.0,0.052,0.052
302,438,dtylam,0.0,0.052,0.052
