Github Ranking,Total Ranking,login,noncode%,code%,total%
1,1,sindresorhus,44.001,34.132,78.133
2,2,davisonio,2.252,3.082,5.334
3,4,RichardLitt,0.176,1.598,1.774
4,6,arthurvr,0.633,0.799,1.432
5,7,AllThingsSmitty,0.293,0.685,0.978
6,10,PatrickJS,0.047,0.571,0.618
7,19,stevestock,0.0,0.457,0.457
8,11,kdeldycke,0.152,0.457,0.609
9,14,johnjago,0.07,0.457,0.527
10,39,leoruhland,0.0,0.342,0.342
11,36,arslanbilal,0.023,0.342,0.36500000000000005
12,34,petk,0.035,0.342,0.377
13,31,karlhorky,0.047,0.342,0.389
14,30,tobiasbueschel,0.047,0.342,0.389
15,29,YerkoPalma,0.047,0.342,0.389
16,24,stevemao,0.059,0.342,0.401
17,22,mischah,0.106,0.342,0.448
18,21,willianjusten,0.106,0.342,0.448
19,25,d3viant0ne,0.059,0.342,0.401
20,17,vinkla,0.152,0.342,0.494
21,18,sfischer13,0.129,0.342,0.47100000000000003
22,9,egeerardyn,0.281,0.342,0.623
23,13,fabacab,0.188,0.342,0.53
24,95,hobbyquaker,0.012,0.228,0.24000000000000002
25,64,hackerkid,0.047,0.228,0.275
26,108,ReadmeCritic,0.0,0.228,0.228
27,71,kasbah,0.035,0.228,0.263
28,65,bnb,0.047,0.228,0.275
29,63,veelenga,0.047,0.228,0.275
30,80,jjangga0214,0.023,0.228,0.251
31,61,feross,0.059,0.228,0.28700000000000003
32,60,TalAter,0.059,0.228,0.28700000000000003
33,58,lucasviola,0.07,0.228,0.29800000000000004
34,55,jdorfman,0.082,0.228,0.31
35,54,hkirat,0.082,0.228,0.31
36,72,matiassingers,0.035,0.228,0.263
37,81,lipis,0.023,0.228,0.251
38,107,FylmTM,0.0,0.228,0.228
39,83,igorbarinov,0.023,0.228,0.251
40,84,thibaudcolas,0.023,0.228,0.251
41,106,uralbash,0.0,0.228,0.228
42,105,caesar0301,0.0,0.228,0.228
43,85,Kikobeats,0.023,0.228,0.251
44,92,kozross,0.012,0.228,0.24000000000000002
45,93,coderberry,0.012,0.228,0.24000000000000002
46,52,stoeffel,0.082,0.228,0.31
47,104,stve,0.0,0.228,0.228
48,94,felipebueno,0.012,0.228,0.24000000000000002
49,53,ooade,0.082,0.228,0.31
50,82,avivace,0.023,0.228,0.251
51,8,aschrijver,0.41,0.228,0.638
52,37,maehr,0.129,0.228,0.357
53,20,simskij,0.223,0.228,0.451
54,23,uraimo,0.211,0.228,0.439
55,41,arbox,0.106,0.228,0.334
56,42,dreamingechoes,0.106,0.228,0.334
57,12,n1trux,0.317,0.228,0.545
58,15,pokeball99,0.293,0.228,0.521
59,46,sobolevn,0.094,0.228,0.322
60,47,aliesbelik,0.094,0.228,0.322
61,48,danvoyce,0.094,0.228,0.322
62,40,erictleung,0.106,0.228,0.334
63,345,Yi-Tseng,0.012,0.114,0.126
64,331,deanhume,0.023,0.114,0.137
65,336,jonleibowitz,0.023,0.114,0.137
66,335,nicolesaidy,0.023,0.114,0.137
67,346,vinjn,0.012,0.114,0.126
68,334,brunopulis,0.023,0.114,0.137
69,333,isRuslan,0.023,0.114,0.137
70,347,fasouto,0.012,0.114,0.126
71,332,jakoch,0.023,0.114,0.137
72,328,brentru,0.023,0.114,0.137
73,330,mmccaff,0.023,0.114,0.137
74,329,zachflower,0.023,0.114,0.137
75,349,Kazhnuz,0.012,0.114,0.126
76,327,domenicosolazzo,0.023,0.114,0.137
77,326,Chalarangelo,0.023,0.114,0.137
78,325,phillipadsmith,0.023,0.114,0.137
79,324,TheJambo,0.023,0.114,0.137
80,323,peadalmeida,0.023,0.114,0.137
81,322,svaksha,0.023,0.114,0.137
82,321,PhantomYdn,0.023,0.114,0.137
83,320,mark-rushakoff,0.023,0.114,0.137
84,348,jonathandion,0.012,0.114,0.126
85,353,musiKk,0.012,0.114,0.126
86,350,robinstickel,0.012,0.114,0.126
87,351,LewisJEllis,0.012,0.114,0.126
88,374,CodyReichert,0.012,0.114,0.126
89,373,nirgn975,0.012,0.114,0.126
90,372,parro-it,0.012,0.114,0.126
91,371,ngokevin,0.012,0.114,0.126
92,370,roaldnefs,0.012,0.114,0.126
93,369,heynickc,0.012,0.114,0.126
94,368,DataDaoDe,0.012,0.114,0.126
95,367,gpoussel,0.012,0.114,0.126
96,366,leereilly,0.012,0.114,0.126
97,365,apsdehal,0.012,0.114,0.126
98,364,kahlil,0.012,0.114,0.126
99,363,Calinou,0.012,0.114,0.126
100,362,ianstormtaylor,0.012,0.114,0.126
101,361,briatte,0.012,0.114,0.126
102,360,passy,0.012,0.114,0.126
103,359,eug,0.012,0.114,0.126
104,358,sergeyklay,0.012,0.114,0.126
105,357,bouzlibop,0.012,0.114,0.126
106,356,stefanbuck,0.012,0.114,0.126
107,355,behzad888,0.012,0.114,0.126
108,354,watson,0.012,0.114,0.126
109,318,kminek,0.023,0.114,0.137
110,352,itech001,0.012,0.114,0.126
111,319,aviaryan,0.023,0.114,0.137
112,282,DanielMSchmidt,0.035,0.114,0.14900000000000002
113,317,exAspArk,0.023,0.114,0.137
114,290,bokub,0.035,0.114,0.14900000000000002
115,275,Cellane,0.035,0.114,0.14900000000000002
116,299,mre,0.023,0.114,0.137
117,298,ligurio,0.023,0.114,0.137
118,297,automata,0.023,0.114,0.137
119,296,hsavit1,0.023,0.114,0.137
120,295,timofurrer,0.023,0.114,0.137
121,294,donnemartin,0.023,0.114,0.137
122,292,woop,0.035,0.114,0.14900000000000002
123,276,zudochkin,0.035,0.114,0.14900000000000002
124,291,maltsev,0.035,0.114,0.14900000000000002
125,289,Friz-zy,0.035,0.114,0.14900000000000002
126,316,manuzhang,0.023,0.114,0.137
127,288,michel-kraemer,0.035,0.114,0.14900000000000002
128,287,raphamorim,0.035,0.114,0.14900000000000002
129,277,chasegiunta,0.035,0.114,0.14900000000000002
130,286,unicodeveloper,0.035,0.114,0.14900000000000002
131,278,SrinivasanTarget,0.035,0.114,0.14900000000000002
132,279,geraldb,0.035,0.114,0.14900000000000002
133,285,noahbuscher,0.035,0.114,0.14900000000000002
134,284,notlmn,0.035,0.114,0.14900000000000002
135,283,nayafia,0.035,0.114,0.14900000000000002
136,280,LucasBassetti,0.035,0.114,0.14900000000000002
137,376,davidsonfellipe,0.012,0.114,0.126
138,274,stevesong,0.035,0.114,0.14900000000000002
139,273,vladfaust,0.035,0.114,0.14900000000000002
140,272,dastergon,0.035,0.114,0.14900000000000002
141,315,NARKOZ,0.023,0.114,0.137
142,314,marcobiedermann,0.023,0.114,0.137
143,268,mojoaxel,0.035,0.114,0.14900000000000002
144,281,facundofarias,0.035,0.114,0.14900000000000002
145,269,simonv3,0.035,0.114,0.14900000000000002
146,313,ehmicky,0.023,0.114,0.137
147,312,ciconia,0.023,0.114,0.137
148,311,yenchenlin,0.023,0.114,0.137
149,310,fliptheweb,0.023,0.114,0.137
150,309,jaredthecoder,0.023,0.114,0.137
151,308,JayAndCatchFire,0.023,0.114,0.137
152,307,podo,0.023,0.114,0.137
153,306,ukstv,0.023,0.114,0.137
154,270,ThePixelDeveloper,0.035,0.114,0.14900000000000002
155,271,peterhuerlimann,0.035,0.114,0.14900000000000002
156,305,mariusoe,0.023,0.114,0.137
157,304,RiseLedger,0.023,0.114,0.137
158,303,ramitsurana,0.023,0.114,0.137
159,302,Fr0sT-Brutal,0.023,0.114,0.137
160,301,terkelg,0.023,0.114,0.137
161,300,likedan,0.023,0.114,0.137
162,375,rayokota,0.012,0.114,0.126
163,407,AchoArnold,0.012,0.114,0.126
164,377,mailtoharshit,0.012,0.114,0.126
165,446,webpro,0.0,0.114,0.114
166,456,kasperisager,0.0,0.114,0.114
167,455,careykevin,0.0,0.114,0.114
168,454,J2TEAM,0.0,0.114,0.114
169,453,KimberlyMunoz,0.0,0.114,0.114
170,452,julioc98,0.0,0.114,0.114
171,451,kjw0612,0.0,0.114,0.114
172,450,burningtree,0.0,0.114,0.114
173,449,kzbt,0.0,0.114,0.114
174,448,yeskunall,0.0,0.114,0.114
175,447,jamesxv7,0.0,0.114,0.114
176,445,lmichelbacher,0.0,0.114,0.114
177,433,candelibas,0.0,0.114,0.114
178,444,madphysicist,0.0,0.114,0.114
179,443,jadb,0.0,0.114,0.114
180,442,moul,0.0,0.114,0.114
181,441,dahlia,0.0,0.114,0.114
182,440,hzoo,0.0,0.114,0.114
183,439,HQarroum,0.0,0.114,0.114
184,438,hawezo,0.0,0.114,0.114
185,437,wfhio,0.0,0.114,0.114
186,436,csu,0.0,0.114,0.114
187,435,Komponist,0.0,0.114,0.114
188,457,sexybiggetje,0.0,0.114,0.114
189,458,gauravmak,0.0,0.114,0.114
190,459,tayllan,0.0,0.114,0.114
191,460,fffaraz,0.0,0.114,0.114
192,481,ivigamberdiev,0.0,0.114,0.114
193,480,notthetup,0.0,0.114,0.114
194,479,yyx990803,0.0,0.114,0.114
195,478,iRowebot,0.0,0.114,0.114
196,477,weblancaster,0.0,0.114,0.114
197,476,kusma,0.0,0.114,0.114
198,475,hantuzun,0.0,0.114,0.114
199,474,scholtzm,0.0,0.114,0.114
200,473,emptymalei,0.0,0.114,0.114
201,472,PerfectCarl,0.0,0.114,0.114
202,471,spekulatius,0.0,0.114,0.114
203,470,pgaxatte,0.0,0.114,0.114
