Date,Code,Non_Code
2015-01,268,911
2015-02,433,1447
2015-03,228,878
2015-04,265,1150
2015-05,273,1219
2015-06,248,1822
2015-07,243,1410
2015-08,285,1509
2015-09,292,1444
2015-10,366,1703
2015-11,297,1365
2015-12,312,1351
2016-01,372,1373
2016-02,298,1192
2016-03,434,1543
2016-04,251,1189
2016-05,196,1043
2016-06,600,1143
2016-07,233,1146
2016-08,310,1510
2016-09,276,1213
2016-10,405,1473
2016-11,207,990
2016-12,240,1035
2017-01,319,1353
2017-02,238,911
2017-03,323,1364
2017-04,206,1023
2017-05,233,886
2017-06,165,906
2017-07,234,1091
2017-08,225,983
2017-09,150,909
2017-10,289,1270
2017-11,183,961
2017-12,109,703
2018-01,174,884
2018-02,122,901
2018-03,143,907
2018-04,169,1051
2018-05,161,1334
2018-06,151,1195
2018-07,107,1021
2018-08,150,1086
2018-09,113,984
2018-10,318,1635
2018-11,114,876
2018-12,107,540
2019-01,106,872
2019-02,133,1281
2019-03,116,945
2019-04,140,1118
2019-05,154,1075
2019-06,64,577
2019-07,71,689
2019-08,141,964
2019-09,67,605
2019-10,318,1455
2019-11,150,840
2019-12,125,689
