name,merged_at
JoeHetfield,2020-08-20 08:39:19+00:00
getify,2020-08-06 02:04:52+00:00
getify,2020-05-01 15:01:46+00:00
getify,2020-04-27 14:50:48+00:00
getify,2020-03-27 11:38:51+00:00
getify,2020-03-25 16:02:16+00:00
getify,2020-03-08 15:58:29+00:00
getify,2020-01-22 16:46:51+00:00
getify,2020-01-06 23:48:21+00:00
getify,2019-12-16 17:16:53+00:00
getify,2019-12-10 14:53:00+00:00
getify,2019-12-08 19:00:37+00:00
getify,2019-12-02 13:28:52+00:00
getify,2019-11-07 16:13:08+00:00
getify,2019-10-31 03:11:04+00:00
JoeHetfield,2018-09-30 02:17:07+00:00
JoeHetfield,2018-09-18 03:04:38+00:00
JoeHetfield,2018-09-18 03:05:18+00:00
getify,2018-09-16 15:25:50+00:00
JoeHetfield,2018-09-13 06:31:55+00:00
getify,2018-09-12 15:34:55+00:00
getify,2018-09-12 13:27:28+00:00
getify,2018-09-12 12:18:18+00:00
getify,2018-08-19 03:19:39+00:00
getify,2018-08-15 17:57:08+00:00
JoeHetfield,2018-06-29 05:32:47+00:00
JoeHetfield,2018-06-13 01:36:07+00:00
JoeHetfield,2018-05-23 13:41:06+00:00
getify,2018-05-20 21:17:38+00:00
getify,2018-05-16 16:17:37+00:00
JoeHetfield,2018-04-28 03:02:43+00:00
JoeHetfield,2018-03-21 14:58:35+00:00
JoeHetfield,2018-03-20 07:01:34+00:00
JoeHetfield,2018-03-13 23:04:29+00:00
JoeHetfield,2018-03-04 16:07:07+00:00
JoeHetfield,2018-03-03 13:20:19+00:00
getify,2018-02-09 05:29:16+00:00
JoeHetfield,2018-02-06 15:00:15+00:00
getify,2018-02-17 10:31:06+00:00
JoeHetfield,2018-01-16 11:53:42+00:00
getify,2017-11-18 14:15:51+00:00
JoeHetfield,2017-11-15 02:16:28+00:00
JoeHetfield,2017-11-14 08:59:25+00:00
JoeHetfield,2017-11-14 08:59:01+00:00
JoeHetfield,2017-11-10 02:53:06+00:00
JoeHetfield,2017-10-19 03:33:07+00:00
JoeHetfield,2017-10-19 03:32:14+00:00
JoeHetfield,2017-09-17 01:31:50+00:00
getify,2017-09-15 23:43:53+00:00
getify,2018-05-16 17:08:05+00:00
JoeHetfield,2017-08-26 02:23:47+00:00
JoeHetfield,2017-08-18 11:59:01+00:00
JoeHetfield,2017-08-17 02:58:55+00:00
getify,2017-08-09 22:13:15+00:00
getify,2017-08-03 21:43:39+00:00
JoeHetfield,2017-07-26 15:53:12+00:00
JoeHetfield,2017-07-23 13:51:09+00:00
JoeHetfield,2017-07-13 09:56:44+00:00
JoeHetfield,2017-07-13 09:58:21+00:00
JoeHetfield,2017-07-13 09:58:49+00:00
JoeHetfield,2017-07-13 09:59:53+00:00
JoeHetfield,2017-07-05 03:34:21+00:00
JoeHetfield,2017-07-13 10:00:35+00:00
JoeHetfield,2017-07-15 14:56:56+00:00
JoeHetfield,2017-06-29 09:28:19+00:00
JoeHetfield,2017-06-29 09:27:31+00:00
JoeHetfield,2017-06-27 12:21:44+00:00
JoeHetfield,2017-06-26 01:48:47+00:00
JoeHetfield,2017-06-26 01:49:58+00:00
JoeHetfield,2017-06-29 09:26:54+00:00
